company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
Microsoft,Seattle,9000.0,2025-07-02,4%,Other,https://www.cnbc.com/2025/07/02/microsoft-laying-off-about-9000-employees-in-latest-round-of-cuts.html,Post-IPO,$1,United States,2025-07-02
Google,SF Bay Area,75.0,2025-06-24,32%,Consumer,https://www.theinformation.com/articles/google-cuts-smart-tv-budget-doubles-youtube,Post-IPO,$26,United States,2025-06-25
Intel,Sacramento,169.0,2025-06-24,53%,Hardware,https://www.oregonlive.com/silicon-forest/2025/06/intel-will-shut-down-its-automotive-business-lay-off-most-of-the-departments-employees.html,Post-IPO,$12,United States,2025-06-25
Microsoft,Seattle,192.0,2025-06-24,20%,Other,https://www.bloomberg.com/news/articles/2025-06-24/microsoft-plans-major-job-cuts-at-xbox-gaming-division?accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzb3VyY2UiOiJTdWJzY3JpYmVyR2lmdGVkQXJ0aWNsZSIsImlhdCI6MTc1MDc3Mjc0NiwiZXhwIjoxNzUxMzc3NTQ2LCJhcnRpY2xlSWQiOiJTWUQ0VkxEV1JHRzAwMCIsImJjb25uZWN0SWQiOiJCMUVBQkI5NjQ2QUM0REZFQTJBRkI4MjI1MzgyQTJFQSJ9.iMkVuxzB6m6hT_Rpwa-NQCTCvDapSt1DaRfpnGaqUSw&embedded-checkout=true&leadSource=uverify%20wall,Post-IPO,$1,United States,2025-06-25
Microsoft,Seattle,305.0,2025-06-02,3%,Other,https://www.geekwire.com/2025/new-filing-microsoft-cuts-another-305-jobs-in-washington-state/,Post-IPO,$1,United States,2025-06-05
Amazon,Seattle,100.0,2025-05-14,13%,Retail,https://www.cnbc.com/2025/05/14/amazon-lays-off-about-100-employees-in-devices-and-services-unit.html,Post-IPO,$8100,United States,2025-05-16
Microsoft,Seattle,6000.0,2025-05-13,3%,Other,https://www.cnbc.com/2025/05/13/microsoft-is-cutting-3percent-of-workers-across-the-software-company.html,Post-IPO,$1,United States,2025-05-13
Meta,SF Bay Area,100.0,2025-04-24,39%,Consumer,https://www.bloomberg.com/news/articles/2025-04-24/meta-lays-off-more-than-100-staff-across-reality-labs-unit,Post-IPO,$26000,United States,2025-04-29
Intel,Sacramento,22000.0,2025-04-23,20%,Hardware,https://www.bloomberg.com/news/articles/2025-04-23/intel-to-announce-plans-this-week-to-cut-more-than-20-of-staff?srnd=homepage-americas,Post-IPO,$12,United States,2025-04-23
Google,SF Bay Area,191.0,2025-04-11,38%,Consumer,https://www.reuters.com/technology/google-lays-off-hundreds-employees-android-pixel-group-information-reports-2025-04-11/,Post-IPO,$26,United States,2025-04-16
HP,SF Bay Area,2000.0,2025-02-28,19%,Hardware,https://www.sfchronicle.com/tech/article/hp-job-cuts-tariff-concerns-20193141.php,Post-IPO,20000000,United States,2025-03-01
Google,SF Bay Area,201.0,2025-02-27,22%,Consumer,https://www.cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html,Post-IPO,$26,United States,2025-02-28
Meta,SF Bay Area,3600.0,2025-02-10,5%,Consumer,https://finance.yahoo.com/news/mark-zuckerberg-warned-employees-prepare-174916671.html,Post-IPO,$26000,United States,2025-01-16
Intel,Sacramento,58.0,2025-02-04,27%,Hardware,https://folsomtimes.com/intel-announces-another-58-layoffs-for-folsom-campus/,Post-IPO,$12,United States,2025-02-21
Salesforce,SF Bay Area,1000.0,2025-02-03,1%,Sales,https://finance.yahoo.com/news/salesforce-cut-1-000-roles-002028643.html,Post-IPO,$65,United States,2025-02-04
Amazon,Seattle,485.0,2025-01-29,48%,Retail,https://www.bloomberg.com/news/articles/2025-01-29/amazon-cuts-dozens-of-corporate-jobs-in-latest-round-of-layoffs,Post-IPO,$8100,United States,2025-02-02
Microsoft,Seattle,392.0,2025-01-14,35%,Other,https://www.businessinsider.com/microsoft-layoffs-hit-security-devices-sales-gaming-2025-1,Post-IPO,$1,United States,2025-01-15
Microsoft,Seattle,298.0,2025-01-07,45%,Other,https://www.businessinsider.com/microsoft-plans-job-cuts-performance-management-2025-1,Post-IPO,$1,United States,2025-01-11
LinkedIn,SF Bay Area,202.0,2024-11-21,1%,Recruiting,https://www.theinformation.com/briefings/linkedin-lays-off-200-employees,Acquired,$154,United States,2024-11-24
AMD,SF Bay Area,1000.0,2024-11-13,4%,Hardware,https://www.techopedia.com/news/amd-layoffs-amid-mixed-earnings-and-intel-merger-speculation,Post-IPO,20000000,United States,2024-11-13
Dropbox,SF Bay Area,527.0,2024-10-30,20%,Other,https://techcrunch.com/2024/10/30/dropbox-is-laying-off-20-of-its-staff/,Post-IPO,$1700,United States,2024-10-30
Meta,SF Bay Area,295.0,2024-10-16,48%,Consumer,https://www.theverge.com/2024/10/16/24272195/meta-layoffs-whatsapp-instagram-reality-labs,Post-IPO,$26000,United States,2024-10-17
IBM,New York City,209.0,2024-09-18,30%,Hardware,https://www.theregister.com/2024/09/18/ibm_job_cuts/,Post-IPO,20000000,United States,2024-09-21
Microsoft,Seattle,650.0,2024-09-12,21%,Other,https://www.ign.com/articles/microsoft-lays-off-another-650-staff-from-its-video-game-workforce-xbox-boss-phil-spencer-sends-memo-to-staff,Post-IPO,$1,United States,2024-09-12
Apple,SF Bay Area,100.0,2024-08-27,46%,Hardware,https://www.bloomberg.com/news/articles/2024-08-28/apple-cuts-about-100-services-jobs-as-part-of-priority-shift,Post-IPO,$1200,United States,2024-08-28
IBM,"Beijing,Non-U.S.",1000.0,2024-08-26,33%,Hardware,https://www.reuters.com/technology/ibm-close-china-rd-department-affecting-over-1000-jobs-yicai-reports-2024-08-26/,Post-IPO,20000000,China,2024-08-28
Cisco,SF Bay Area,5600.0,2024-08-09,7%,Infrastructure,https://techcrunch.com/2024/09/17/ciscos-second-layoff-of-2024-affect-thousands-of-employees/,Post-IPO,$2,United States,2024-08-09
Dell,Austin,311.0,2024-08-05,46%,Hardware,https://siliconangle.com/2024/08/05/dell-lays-off-thousands-workers-sales-reorganization/,Post-IPO,20000000,United States,2024-08-05
Intel,SF Bay Area,15000.0,2024-08-01,15%,Hardware,https://www.intel.com/content/www/us/en/newsroom/news/actions-accelerate-our-progress.html#gs.cgq6eg,Post-IPO,$12,United States,2024-08-01
Salesforce,SF Bay Area,300.0,2024-07-15,44%,Sales,https://www.bloomberg.com/news/articles/2024-07-15/salesforce-cuts-about-300-jobs-in-latest-sign-of-tech-austerity,Post-IPO,$65,United States,2024-07-15
Spotify,"Stockholm,Non-U.S.",40.0,2024-07-15,7%,Media,https://adage.com/article/digital-marketing-ad-tech-news/spotify-focus-smaller-clients-programmatic-ad-tech-includes-40-layoffs/2569771,Post-IPO,$2100,Sweden,2024-07-16
Microsoft,Seattle,432.0,2024-07-03,19%,Other,https://www.geekwire.com/2024/microsoft-lays-off-employees-in-new-round-of-cuts/,Post-IPO,$1,United States,2024-07-08
PayPal,SF Bay Area,85.0,2024-06-18,17%,Finance,https://www.irishexaminer.com/business/companies/arid-41418832.html,Post-IPO,$216,Ireland,2024-06-23
Microsoft,Seattle,1000.0,2024-06-03,28%,Other,https://www.theverge.com/2024/6/3/24170902/microsoft-hololens-2-mixed-reality-azure-layoffs,Post-IPO,$1,United States,2024-06-03
Google,SF Bay Area,100.0,2024-05-31,7%,Consumer,https://www.businessinsider.com/google-cloud-layoffs-job-cuts-employees-globally-2024-5,Post-IPO,$26,United States,2024-06-01
Google,SF Bay Area,57.0,2024-05-10,42%,Consumer,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,Post-IPO,$26,United States,2024-05-11
Google,SF Bay Area,200.0,2024-05-01,40%,Consumer,https://www.cnbc.com/2024/05/01/google-cuts-hundreds-of-core-workers-moves-jobs-to-india-mexico.html,Post-IPO,$26,United States,2024-05-02
Tesla,Austin,500.0,2024-04-30,27%,Transportation,https://www.theverge.com/2024/4/30/24145621/tesla-layoff-supercharger-ev-charging-nacs-elon-musk,Post-IPO,$20200,United States,2024-05-01
Google,SF Bay Area,73.0,2024-04-30,14%,Consumer,https://techcrunch.com/2024/04/29/google-lays-off-staff-from-flutter-dart-python-weeks-before-its-developer-conference/,Post-IPO,$26,United States,2024-04-30
Google,SF Bay Area,462.0,2024-04-17,30%,Consumer,https://www.reuters.com/technology/google-lays-off-employees-shifts-some-roles-abroad-amid-cost-cuts-2024-04-17/,Post-IPO,$26,United States,2024-04-18
Tesla,Austin,14000.0,2024-04-15,10%,Transportation,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,Post-IPO,$20200,United States,2024-04-15
Intel,SF Bay Area,62.0,2024-04-09,32%,Hardware,https://www.crn.com/news/components-peripherals/2024/intel-layoffs-impact-62-jobs-at-california-hq,Post-IPO,$12,United States,2024-04-12
Apple,SF Bay Area,614.0,2024-04-04,58%,Hardware,https://www.bloomberg.com/news/articles/2024-04-04/apple-cut-at-least-600-workers-when-car-screen-projects-stopped?embedded-checkout=true,Post-IPO,$1200,United States,2024-04-05
Amazon,Seattle,463.0,2024-04-03,7%,Retail,https://www.geekwire.com/2024/amazon-web-services-cuts-hundreds-of-jobs-in-sales-training-and-physical-stores-technology/,Post-IPO,$108,United States,2024-04-03
Dell,Austin,6000.0,2024-03-25,5%,Hardware,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/,Post-IPO,20000000,United States,2024-03-27
